Órgão;Unidade;Empenhado;Liquidado;Pago
Chefia de Gabinete;Coordenação Geral - CG;"8.937.999,56";"7.796.970,16";"7.685.117,72"
Controladoria-Geral do Município;Coordenação Geral - CGM;"6.526.121,54";"6.502.886,95";"6.501.590,62"
Procuradoria-Geral do Município;Coordenação Geral - PGM;"22.172.327,88";"22.041.559,84";"22.031.400,12"
Procuradoria-Geral do Município;Fundo Municipal de Proteção e Defesa do Consumidor - PROCON - LD;"1.855.064,85";"1.810.072,91";"1.808.875,26"
Secretaria Municipal de Governo;Coordenação Geral - SMG;"3.542.164,36";"3.393.167,07";"3.382.810,45"
Secretaria Municipal de Governo;Fundo Municipal de Habitação de Londrina - FMHL;"5.275.567,55";"5.129.767,55";"5.129.752,58"
Secretaria Municipal de Governo;Fundo Mun. Proteção e Defesa do Consumidor - PROCON-Ld;"0,00";"0,00";"0,00"
Secretaria Municipal de Fazenda;Coordenação Geral - SMF;"36.152.786,99";"35.107.116,97";"35.107.104,16"
Secretaria Municipal de Fazenda;Encargos do Município;"248.056.174,52";"242.428.552,19";"240.750.188,42"
"Secretaria Municipal de Planejamento, Orçamento e Tecnologia";Coordenação Geral - SMPOT;"17.705.236,21";"16.110.446,06";"16.110.446,06"
Secretaria Municipal de Gestão Pública;Coordenação Geral - SMGP;"17.909.263,52";"15.807.232,54";"15.617.219,39"
Secretaria Municipal de Gestão Pública;Programa de Modernização da Administração Tributária - PMAT;"0,00";"0,00";"0,00"
Secretaria Municipal de Gestão Pública;Programa PROCIDADES - BID;"0,00";"0,00";"0,00"
Secretaria Municipal de Recursos Humanos;Coordenação Geral - SMRH;"92.263.501,50";"91.849.157,15";"91.847.673,91"
Secretaria Municipal de Agricultura e Abastecimento;Coordenação Geral - SMAA;"13.918.351,48";"10.764.469,33";"10.698.121,67"
Secretaria Municipal de Agricultura e Abastecimento;Fundo Municipal de Desenvolvimento Rural - FMDR;"0,00";"0,00";"0,00"
Secretaria Municipal de Obras e Pavimentação;Coordenação Geral - SMOP;"250.291.093,71";"118.921.765,83";"118.590.342,69"
Secretaria Municipal de Obras e Pavimentação;Fundo Municipal de Desenvolvimento Urbano - FMDU;"0,00";"0,00";"0,00"
Secretaria Municipal de Obras e Pavimentação;Fundo Municipal de Saneamento Básico e Desenvolvimento Sustentável - FMSBDS;"4.027.848,22";"3.753.338,40";"3.753.338,40"
Secretaria Municipal de Educação;Coordenação Geral - SME;"529.448.221,49";"480.957.607,88";"480.924.321,20"
Secretaria Municipal de Educação;Recursos do FUNDEB;"286.039.378,12";"275.288.986,96";"275.288.986,96"
Secretaria Municipal do Ambiente;Coordenação Geral - SEMA;"18.125.097,07";"14.156.060,81";"14.153.174,84"
Secretaria Municipal do Ambiente;Fundo Municipal do Meio Ambiente - FMMA;"5.657.168,27";"586.277,16";"586.277,16"
Secretaria Municipal do Ambiente;Fundo de Proteção aos Animais - FUPA;"1.080.680,02";"885.382,57";"885.382,57"
Secretaria Municipal de Cultura;Coordenação Geral - SMC;"12.385.989,59";"10.131.227,54";"10.129.627,64"
Secretaria Municipal de Cultura;Fundo Especial de Incentivo a Projetos Culturais - FEIPC;"7.681.747,54";"5.669.607,54";"5.589.607,54"
Secretaria Municipal de Cultura;Fundo Municipal de Preservação do Patrimônio Cultural de Londrina - FMP;"180.000,00";"180.000,00";"180.000,00"
Secretaria Municipal de Cultura;Fundo Municipal de Incentivo à Atividade Audiovisual;"0,00";"0,00";"0,00"
Secretaria Municipal de Assistência Social;Coordenação Geral - SMAS;"47.476.897,09";"46.488.917,38";"46.482.350,18"
Secretaria Municipal de Assistência Social;Fundo Municipal dos Direitos da Criança e do Adolescente - FMDCA;"4.205.026,18";"3.738.321,03";"3.737.979,88"
Secretaria Municipal de Assistência Social;Fundo Municipal de Assistência Social - FMAS;"69.627.344,07";"59.467.101,70";"59.453.575,30"
Secretaria Municipal de Políticas para as Mulheres;Fundo Municipal dos Direitos das Mulheres - FMDM;"6.762.032,58";"6.558.018,80";"6.555.759,71"
Secretaria Municipal do Idoso;Coordenação Geral - SMI;"5.788.877,37";"5.708.640,38";"5.708.525,11"
Secretaria Municipal do Idoso;Fundo Municipal dos Direitos da Pessoa Idosa - FMDPI;"9.594.809,79";"8.838.829,41";"8.838.829,41"
Secretaria Municipal de Defesa Social;Coordenação Geral - SMDS;"40.316.333,08";"37.855.833,05";"37.855.143,05"
Secretaria Municipal de Defesa Social;Fundo de Reequipamento do Corpo de Bombeiros - FUNREBOM;"850.255,53";"324.026,26";"319.596,26"
"Secretaria Municipal do Trabalho, Emprego e Renda - SMTER";Coordenação Geral - SMTER;"1.827.098,57";"1.509.918,38";"1.509.818,09"
"Secretaria Municipal do Trabalho, Emprego e Renda - SMTER";"Fundo Municipal do Trabalho, Emprego e Renda de Londrina - FMTER";"0,00";"0,00";"0,00"
